,geo,text,user,location,Subject,state
203,, So-called “Liberal” media has spent the last 3.5 years insisting to the Black Community that Donald J. Trump is a “racist…,tpsummers,"Kennesaw, GA",Donald Trump,Georgia
212,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",LinneyAnnette,"Texas, USA",Donald Trump,Texas
213,,  I don’t want someone in the WH who wants to suppress the votes of our military. That’s why I’m votin…,jamieob256,"New York, NY",Donald Trump,New York
222,, It’s very on brand with today’s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien…,Dalton642,"Charlotte, NC",Donald Trump,North Carolina
232,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,iamnottense,"Texas, USA",Donald Trump,Texas
236,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,Sissymoon1956Ce,"Washington, USA",Donald Trump,Washington
253,," As President Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government offic…",kat_pep_,GA,Donald Trump,Georgia
256,," ""17"" posts today about the ""Great Reset"", which is a plan to enslave all humanity though health dictatorships.Like we see…",maggieveeus,California,Donald Trump,California
258,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,eliseambrose,"Washington, DC",Donald Trump,Washington
261,, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,DawnLenhardt,"Michigan, USA",Donald Trump,Michigan
271,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",caraleeacs,"Texas, USA",Donald Trump,Texas
281,, Donald Trump is not running against Joe Biden he's running against democracy the election and the American voter,jhentaichrist,"Tucson, AZ",Donald Trump,Arizona
282,," ""Trump's insistence that we are 'rounding the corner' on the virus is nonsensical. As is his assertion that even if you do get Cov…",JBellSATX,"San Antonio, TX",Donald Trump,Texas
283,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,apexnerd,"Henderson, NV",Donald Trump,Nevada
284,, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…,igbell2,New York ,Donald Trump,New York
287,, Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…,sublimeviolets,"Miami, FL",Donald Trump,Florida
288,,"  Thanks to Donald Trump turning the corner, he could not see the 86,401 new cases of CO… ",RoyRoyrd,"Carrollton, GA",Donald Trump,Georgia
291,, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,DePernaProperty,"Key Largo, FL",Donald Trump,Florida
296,," “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…",blue_rose_nc,"North Carolina, USA",Donald Trump,North Carolina
301,,Coronavirus response shows Donald Trump's failure of leadership  via ,tbdnonymous,"New Albany, IN",Donald Trump,Indiana
306,, The Independent:  airs 80-second supercut of 's racist remarks over the past 30 years.…,halfwayhippie,"Ohio, USA",Donald Trump,Ohio
313,, Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…,CrzyTmsJimB,"California, USA",Donald Trump,California
318,," Study Finds TheSingle Largest Driverof #Coronavirus Misinformation, #Lies, &amp; #HOAX #Denying ?The  REPUBLICANS Don…",IfkaTatar,"Arkansas, USA",Donald Trump,Arkansas
331,," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…",BazileMusic,"Bay Area, CA",Donald Trump,California
341,, White liberals demonizing Trump a racist also forgot...Whitney Houston was close to Donald Trump. Trump presented Whitney…,DaveSayz,Florida,Donald Trump,Florida
346,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",katona_barbara,"Denver, CO",Donald Trump,Colorado
347,,"   Here’s another source similar to yours, but they also include how this sud… ",FutureGirl2073,Texas,Donald Trump,Texas
358,, David Letterman calling Donald Trump a straight-up racist. In 2012... ,wbtegra,"Charleston, SC",Donald Trump,South Carolina
365,, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…,MicheleDianeDR,WA,Donald Trump,Washington
374,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",canoetipper_k,"Ontario, CA",Donald Trump,California
378,," I believe in science.Donald Trump doesn't.It's that simple, folks.",ed_mac33,"Menomonee Falls, WI",Donald Trump,Wisconsin
382,, Remember if Democrats vote in massive numbers . Donald Trump cannot contest the election.,Pagecamper1,"Living in my Head, NC ",Donald Trump,North Carolina
387,,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…",SusanVajda,"Kensington, MD",Donald Trump,Maryland
388,,"  Perhaps the biggest shock of all does not come from Trump, but from his tens of millions supporters and th…",HoshinoLady,"Wisconsin, USA CDT",Donald Trump,Wisconsin
