,geo,text,user,location,Subject,state
267,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",GaryHaizlip,"Blackstone, VA",Donald Trump,Virginia
268,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",HockeyGodess,"Pittsburgh, PA",Donald Trump,Pennsylvania
275,, “A vote for Donald Trump is a vote against the very ideals upon which our democracy was founded”Gregg Popovich endors…,_armandochavez_,Texas,Donald Trump,Texas
281,,I Was Told Donald Trump Was Racist! I Was Duped by Media Lies!  via ,JamesLe40607504,"Nederland, TX",Donald Trump,Texas
284,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",PamAdam93582596,"California, USA",Donald Trump,California
291,, Black Americans haven't been sleeping. We've been awake telling America the issues we have.Black Americans aren't sla…,VAJackson1611,"Arizona, USA",Donald Trump,Arizona
293,, Wanted: assessment of why Bush-era war criminals are suddenly the darlings of the Rachel Maddow #Resistance-and-smart glasses…,Matt44888,"New Jersey, USA",Donald Trump,New Jersey
298,," October 31st - ""I'm the scariest night of the year. I give you children dressed as goblins.""November 3rd - ""I give you…",CaliCatWwoman,"California, USA",Donald Trump,California
303,, Civil rights leader and Christian activist Rev. William Owens endorsed Donald Trump for president. …,MimeticKing,"Richmond, VA",Donald Trump,Virginia
304,,I Pray Everyday That Our Country Will Know What To Do in the Case That Our Liberties And God Given Rights start To… ,kodie_michelle,"Florida, USA",Donald Trump,Florida
306,, Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters ,mhplatten,"Davis, CA",Donald Trump,California
309,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",LisaFroghair1,"Arkansas, USA",Donald Trump,Arkansas
310,,Not just #Democrats but #All #Americans should be really looking at their why...#VoteFourMoreYears,HarveyTJS,"♥Dallas, TX, USA♥",Donald Trump,Texas
312,, Democrat nightmare: The daily Rasmussen Reports poll that tracks black support for Donald Trump shows the president sitt…,MAPrzybysz,"Medina, OH",Donald Trump,Ohio
313,, DONALD TRUMP JUST GOT LIL WAYNE TO COME ABOARD THE PLATINUM PLAN. DEMOCRATS ARE SHAKING IN THEIR BOOTS! …,SharonQwltnut,"Hamilton, OH",Donald Trump,Ohio
316,," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…",moonstonemother,"Oklahoma, USA",Donald Trump,Oklahoma
319,," We are going up on radio in small, African American communities in Florida – places that neither party pays much attention…",SybilQuave1,"Alexandria, VA",Donald Trump,Virginia
325,, President Donald Trump’s record is outstanding. Let’s get out there and Keep America GREAT! #turnademocrat #TrumpPence20…,OffCyndisc,"Dallas, Texas",Donald Trump,Texas
326,, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…,dhoerres,"Detroit, MI",Donald Trump,Michigan
327,, Trump threatened to withhold aid from Pa. as the coronavirus surges. Here’s what you need to know. …,SenatorHughes,"Philadelphia, PA",Donald Trump,Pennsylvania
329,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",AbueloJoe,"Franklin, NC",Donald Trump,North Carolina
333,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",JimBoyl05322925,"Massachusetts, USA",Donald Trump,Massachusetts
334,," Before this year, I thought I knew hate, apparently I was wrong. I've never hated anyone, more than I hate that malign…",BuckEddy77,"Massachusetts, USA",Donald Trump,Massachusetts
335,," 🇺🇸Message from President : Reelect me and I will continue to deliver safety, prosperity and opportunity fo…",Jeffrey52095461,"Pennsylvania, USA",Donald Trump,Pennsylvania
338,," Find someone who loves you as much as Donald Trump loves doing nothing about COVID-19 and calling himself ""sir"" in made-u…",gdorshimer,"Jenkintown, PA",Donald Trump,Pennsylvania
339,," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…",nawlinsred2010,"New Orleans, LA",Donald Trump,Louisiana
348,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",pattysmattyvt,VT,Donald Trump,Vermont
350,, If Senator Collins supported Donald Trump she would have proudly said yes! It’s indicative that she is… ,TAnnKennedyNob2,"Wolfforth, TX",Donald Trump,Texas
351,, A vote for Donald Trump is a vote to defund and destroy our Social Security system. ,pirateonboard,"Hockessin, DE",Donald Trump,Delaware
353,," GDP rose last quarter, but visits to food banks haven’t slowed, and poverty has grown. We’re on track for the worst economic…",christophcrews,"Richmond, VA",Donald Trump,Virginia
358,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,kld_scifimom,"Virginia, USA",Donald Trump,Virginia
359,,Donald Trump and Joe Biden cross paths in the final campaign sprint as the virus rages | Analysis… ,CNNPolitics,"Washington, DC",Donald Trump,Washington
363,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",ScottyResister,"South Carolina, USA",Donald Trump,South Carolina
374,," Beyond the Supreme Court, not only has President Donald Trump appointed judges at a quicker pace than his predecessor, he’s…",thomasfletchers,"Ocala, FL",Donald Trump,Florida
376,,"If you are a #BidenHarris2020 voter and are outraged, as we should be, by GOP attacks targeting Hunter Biden's addi… ",mdjaxon,"West Branch, Michigan",Donald Trump,Michigan
382,, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…,MHornsby16,"South Carolina, USA",Donald Trump,South Carolina
389,, . on Lil Wayne endorsing Trump: “I’m really sick of you gremlin degenerates who come out here and push…,Tashia72,"Miami, FL, Orlando,FL",Donald Trump,Florida
391,,"Win or Lose, It’s Donald Trump’s Republican Party ",donnakaz,"New York, NY",Donald Trump,New York
403,," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…",MaribethW9007,"Greece, NY",Donald Trump,New York
408,, Sounds like a supporter of Donald Trump,CFaanes,"Sarasota, FL",Donald Trump,Florida
412,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",JonathanSYoung,"Larchmont, NY",Donald Trump,New York
413,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",denieseAHE,"Country Club, FL",Donald Trump,Florida
418,," 👀a what, 😳another spin 💫Fu*k Donald Trump, I never liked him. 🤨for all I know he had me set up and had my friend Angel Fernande…",KryssyLaReina,"Atlanta, GA",Donald Trump,Georgia
425,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",MarkELampkin,"Vallejo, California",Donald Trump,California
426,, Lil Pump showing his support for Donald Trump ,swpickwick,"Milford, NY",Donald Trump,New York
431,, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…,DavidHollifield,"Atlanta, GA",Donald Trump,Georgia
434,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",WashSquareGirl,"Illinois, USA",Donald Trump,Illinois
435,," Did Ya Kiss This ""Daddy"" The Way You Kiss The Other One? Young MAGA Millionaire Lil Wayne Proudly Posts Sycophantic Snapshot Sm…",VONZW0RLD,"Brooklyn, NY",Donald Trump,New York
439,,I don’t why these celebrities being so ignorant thinking Trump going to help our people. If he really care about us… ,Coreynation70,"North Carolina, USA",Donald Trump,North Carolina
441,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,Burzi03Sam,"Baltimore, MD",Donald Trump,Maryland
442,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",LSUproud,Louisiana,Donald Trump,Louisiana
455,,President Donald Trump still has a path to a second term. But it would take a polling debacle that would make 2016… ,politico,"Washington, D.C.",Donald Trump,Washington
456,, Lawyers for Donald Trump and Joe Biden are poring over arcane federal law to prepare for the possibility that a close or cont…,AbandonedLizard,"Bayonne, NJ",Donald Trump,New Jersey
469,,"  #EndBJAG #EndSARS they are the conflict #EndCORRUPTION Its not a movement, it's a #PayGrade.… ",Davis224Jake,"Oklahoma City, OK",Donald Trump,Oklahoma
472,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",Anumbr1,"Michigan, USA",Donald Trump,Michigan
474,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",mtmom57,"Montana, USA",Donald Trump,Montana
475,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",mo_sharkey,"Medway, MA",Donald Trump,Massachusetts
478,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",AMRusso50,"Wallingford, CT",Donald Trump,Connecticut
482,,Donald trump you goin to hell too. You &amp; everybody thats involved in your lil plan to fuck with me.,Tihomas,"Indianapolis, IN",Donald Trump,Indiana
483,," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…",EvansDonnell,"Nashville, TN, USA",Donald Trump,Tennessee
487,, I love America and I voted in person for the Best President Ever Donald J. Trump! Thank you Nonna. #MAGA  ♥️🤍💙,SuzanneOlson44,"Elmira, NY",Donald Trump,New York
490,, Lawyers for Donald Trump and Joe Biden are poring over arcane federal law to prepare for the possibility that a close or cont…,BGDDHALL,"Massachusetts, USA",Donald Trump,Massachusetts
493,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",Dugan79127109,"New York, USA Long Island",Donald Trump,New York
494,, David Letterman calling Donald Trump a straight-up racist. In 2012... ,AMpplH8r,"KS, USA",Donald Trump,Kansas
496,," ""Why in the world is Jack Nicklaus voting for Donald Trump considered divisive? Because the far left wing sports media only al…",PaulGrasmanis,"Franklin, TN",Donald Trump,Tennessee
502,," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…",dp11843,"Pennsylvania, USA",Donald Trump,Pennsylvania
503,,Don Jr. says US COVID deaths 'almost nothing' on the day 994 died  via ,PTekach,"Poland, OH",Donald Trump,Ohio
511,, David Letterman calling Donald Trump a straight-up racist. In 2012... ,IrishGuy64,"Cheektowaga, NY",Donald Trump,New York
515,," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…",pirateonboard,"Hockessin, DE",Donald Trump,Delaware
517,,"   Please tell me a single person that has ""partnered"" with Donald Trump… ",OH_happyman,"Summit County, Ohio",Donald Trump,Ohio
518,, Donald Trump is #AmericasGreatestMistake,Ilene_V,"Long Island, NY",Donald Trump,New York
521,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",christophcrews,"Richmond, VA",Donald Trump,Virginia
524,, The swamp or Donald Trump ?Who will work for you ?,MatherneShane,"Louisiana, USA",Donald Trump,Louisiana
527,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,willbarrett_1,"Texas, USA",Donald Trump,Texas
530,," I haven’t seen my 90 y.o. mother since last Christmas because of Covid, and now won’t be able to see her this Thanksgiving or…",LLLwry,"Minnesota, USA",Donald Trump,Minnesota
532,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",mcjorracing,"Millstone, NJ",Donald Trump,New Jersey
534,, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,lshobbs57,"Norwood, Ohio",Donald Trump,Ohio
536,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",DonnaMc60877365,"Myrtle Beach, SC",Donald Trump,South Carolina
546,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",Wanda125310,"Maryland, USA",Donald Trump,Maryland
550,," Donald Trump, who has financial interests in Turkey, won’t stand up to Erdogan. Ever.He even interfered in a DOJ inves…",sdicato,"Tega Cay, SC",Donald Trump,South Carolina
552,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",jimarmstrong85,"Los Angeles, California",Donald Trump,California
554,," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…",iluevano87,"Los Angeles, CA",Donald Trump,California
561,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",LadyMontague147,"New Orleans, LA",Donald Trump,Louisiana
563,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",Msa72722,"Washington, DC",Donald Trump,Washington
564,, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…,SEllisonJ,"Minnesota, USA",Donald Trump,Minnesota
574,, Donald Trump is #AmericasGreatestMistake,Danette47313223,"Rochester, MN",Donald Trump,Minnesota
580,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",Aliapari,"Boca Raton, FL",Donald Trump,Florida
582,," COVID-19 deaths:United States: 225,000Population: 328.2 millionCOVID-19 deaths:Canada: 9,963Japan: 1,716Australia: 9…",FloryKaiha,"Lancaster, OH",Donald Trump,Ohio
588,," Donald Trump Jr. says COVID deaths 'are almost nothing' and 'we've gotten control of the thing' on the very day 1,000…",Tracysnps,"Georgia, USA",Donald Trump,Georgia
590,," BREAKING: After endorsing Donald Trump, rapper Lil Wayne is no longer black according to Joe Biden",Nettan1971,"Colorado, USA",Donald Trump,Colorado
604,, CNN’s Brianna Keilar Delivers 7-Minute Takedown Of Donald Trump’s 1950s Worldview  via ,truzenuzex,"Lewes, DE, USA",Donald Trump,Delaware
610,," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…",FatherNeeks,"New York, NY",Donald Trump,New York
611,, Hi Stephanie where did you find the fiery pastor's sermon Gif on donald trump?,Sourcessay4,Florida,Donald Trump,Florida
613,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,dp11843,"Pennsylvania, USA",Donald Trump,Pennsylvania
616,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",DennisPerkins5,"Portland, Maine",Donald Trump,Maine
622,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",ajmg__,Texas ,Donald Trump,Texas
623,," COVID-19 deaths:United States: 225,000Population: 328.2 millionCOVID-19 deaths:Canada: 9,963Japan: 1,716Australia: 9…",remlik,"Apalachin, New York",Donald Trump,New York
625,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",OldGolfer4Cats,"Kansas, USA",Donald Trump,Kansas
635,, Donald Trump is #AmericasGreatestMistake,iluevano87,"Los Angeles, CA",Donald Trump,California
637,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",Jeffrey52095461,"Pennsylvania, USA",Donald Trump,Pennsylvania
639,, . on Lil Wayne endorsing Trump: “I’m really sick of you gremlin degenerates who come out here and push…,hgilmore3,"LA, CA",Donald Trump,California
649,, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,sunny_in_MN,"Minneapolis, MN",Donald Trump,Minnesota
656,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",stepbeast,NY,Donald Trump,New York
657,, Keep it coming! 🇺🇸🇺🇸🇺🇸 ,gaboiredd,"Lovejoy, GA",Donald Trump,Georgia
663,," Joe Biden gets aging Bon Jovi and CHER, President Donald Trump gets Lil Wayne.",live_valhalla,"Ohio,UNITED STATES of AMERICA ",Donald Trump,Ohio
664,, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…,BethDay19242819,"Baraboo, WI",Donald Trump,Wisconsin
671,, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,willbarrett_1,"Texas, USA",Donald Trump,Texas
680,," It's 2:30am and Donald Trump is having a meltdown about the ""Biden family"" and spelling it ""famiily."" So that tells you h…",apdeb7,"N Hutchinson Island, FL",Donald Trump,Florida
681,, TONIGHT: How will the booming economy help President Donald Trump at the polls on Tuesday?  joins “Hannity”…,RobinJohnson54,"Ohio, USA",Donald Trump,Ohio
687,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",rherrlin326,"East Hampton , New York",Donald Trump,New York
692,," .⁦⁩, a highly respected retired brigadier general who spent his career in the intelligence field, asks a hitherto u…",dotthedragon,"Sedona, AZ",Donald Trump,Arizona
699,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",commonsenseisg5,"Boston, MA",Donald Trump,Massachusetts
701,," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…",WillEB75211,"Dallas, TX",Donald Trump,Texas
702,," Donald Trump cancelled his racist pep rally in NC because of wind. Trump is terrified of wind, weather and women. 😂 🤣 😂",Debr1049Debra,"Massachusetts, USA",Donald Trump,Massachusetts
705,," New :  holds 3-point lead over  in Florida, via  …",suesuterjames,"College Station, TX",Donald Trump,Texas
707,," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…",joannmc145,"California, USA",Donald Trump,California
712,," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…",crisbabau80,"Chicago, IL",Donald Trump,Illinois
715,," We need leaders who will listen to public health experts - and on Tuesday, we can elect them:",girlybrickcity,"New Jersey, USA",Donald Trump,New Jersey
716,, Fascist greedy grifter Trump screws the middle class and poor again 🤬👉he wants to completely unleash greedy corporations — and…,micket123,"Salisbury, MD",Donald Trump,Maryland
718,, #Trump being a truly pathological liar is not news to anyone around the world who has exposure to him. Even most of the #…,martinelli_jp,New York,Donald Trump,New York
720,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",ron_humphrey,"near Augusta, GA",Donald Trump,Georgia
722,,"President Donald Trump and former Vice President Joe Biden held dueling rallies in Florida Thursday, putting their… ",nbcwashington,"Washington, D.C.",Donald Trump,Washington
723,,"Dozen People Overcome By Heat, Rushed To Hospital During Trump's Florida Rally ~  MAGAA &gt; Make Ame… ",BillnYou,"San Diego, California",Donald Trump,California
728,,Weezy F baby and the F is for FUCK Donald Trump ,shannon_stearns,"Wisconsin, USA",Donald Trump,Wisconsin
730,, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…,dhoerres,"Detroit, MI",Donald Trump,Michigan
732,, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,ang9smith,"Bartlett, TN",Donald Trump,Tennessee
744,, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…,Chloesbu,"New Hampshire, USA",Donald Trump,New Hampshire
750,," Cooper lip-syncs Trump and Mirren plays Billy Bush in the bit for the comedian's new Netflix show, ""Everything's Fine."" https…",4everUtopia,"New York, New York",Donald Trump,New York
752,, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…,jblongwell,"Utah, USA",Donald Trump,Utah
754,, Donald Trump is on track to become the worst jobs president in modern American history. ,VestaBlackclaw,"Maine, USA",Donald Trump,Maine
756,, Donald Trump is on track to become the worst jobs president in modern American history. ,MadamMaiga,"Pennsylvania, USA",Donald Trump,Pennsylvania
768,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",alr8882001,"Houston, TX",Donald Trump,Texas
769,," 🚨NEW AD🚨🎶""I'm going to vote FOR DONALD TRUMP!""🎶#LatinosForTrump🇺🇸 ",lisandrogil1,"Miami, FL",Donald Trump,Florida
770,, NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…,cgsteinman,"Muskegon, Michigan",Donald Trump,Michigan
772,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",Sandy_Bigelow,MA,Donald Trump,Massachusetts
773,," ""The United States military is sworn to support and defend the Constitution against all enemies foreign and domestic."" ALL…",PattiLaura,"Rockaway Park, NY",Donald Trump,New York
774,," I haven’t seen my 90 y.o. mother since last Christmas because of Covid, and now won’t be able to see her this Thanksgiving or…",abigail_adams76,"Pennsylvania, USA",Donald Trump,Pennsylvania
776,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",MAGAnickD,"East Fishkill, NY",Donald Trump,New York
781,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",KathyYork20,"Princeton, WV",Donald Trump,West Virginia
782,," Donald Trump will go down as the most beloved President ever.God bless you, best President Trump! We all love and supp…",Izzygold_777,"Texas, USA",Donald Trump,Texas
790,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",Beau97849013,"San Diego, CA",Donald Trump,California
794,,Donald Trump Jr. Gets Instant Fact-Check After Most Brazen Coronavirus Lie Yet #SmartNews  ,cindylazarus47,"Columbus, OH",Donald Trump,Ohio
806,, Susan Collins packed the courts when she voted to confirm 181 of Donald Trump and Mitch McConnell's far-right judicial nomi…,pc1330,TN,Donald Trump,Tennessee
809,, Donald Trump is on track to become the worst jobs president in modern American history. ,Vi44,"Florida, USA",Donald Trump,Florida
810,," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…",DrRamser,"Pendleton, Oregon",Donald Trump,Oregon
813,, Donald Trump is a Liar ,Philipm344,"Ft. Lauderdale,FL",Donald Trump,Florida
819,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",SueAC185,"Chicago, IL",Donald Trump,Illinois
826,, Donald Trump is on track to become the worst jobs president in modern American history. ,Crusher58,"New Oxford, PA",Donald Trump,Pennsylvania
827,," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…",MichalTarny,"Wisconsin, USA",Donald Trump,Wisconsin
828,,   Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt can…,BritaniaRTW,"Florida, USA",Donald Trump,Florida
832,," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…",mijaofmymama,"Berkeley, CA",Donald Trump,California
833,," ""The United States military is sworn to support and defend the Constitution against all enemies foreign and domestic."" ALL…",CarlosTryidero,"New York, USA",Donald Trump,New York
835,, Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…,HinderTrump,"Florida, USA",Donald Trump,Florida
837,, “Donald Trump is pushing conspiracy theories rooted in fake intelligence and written by people who don’t exist. “Trum…,brian_klink,"Wisconsin, USA",Donald Trump,Wisconsin
840,, The FBI is completely compromised and Donald Trump is not safe in my opinion.,Slungblde,"Nashville, Tennessee",Donald Trump,Tennessee
841,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",RooteeJ,"Westfield, MA",Donald Trump,Massachusetts
848,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",1401bonniek,Indiana,Donald Trump,Indiana
849,, Donald Trump is on track to become the worst jobs president in modern American history. ,mickey_freida,"Canandaigua, NY",Donald Trump,New York
850,," I support Donald Trump, do you?",tanajam,North Carolina,Donald Trump,North Carolina
860,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",donaldtrumpsdr,New York,Donald Trump,New York
862,, Donald Trump is #AmericasGreatestMistake,Irishdragon7,"Chicago, IL",Donald Trump,Illinois
864,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",OCOZsMoms,"New Jersey, USA",Donald Trump,New Jersey
865,, Joe Biden has been endorsed by 81 Nobel Prize recipients and nearly 500 General and Admirals.  Donald Trump has been endo…,HinderTrump,"Florida, USA",Donald Trump,Florida
866,, Unraveling Lindsey Graham takes bizarre shot at Donald Trump ,grannynannynews,"New York, USA",Donald Trump,New York
870,," Five days from Election Day, it's clear who's the favorite. And it's not Donald Trump.",dolliod,"Medford, OR",Donald Trump,Oregon
874,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",JDemaggio1213,MA,Donald Trump,Massachusetts
876,, President Donald Trump’s campaign on Thursday questioned whether former Vice President Joe Biden was aware of the report…,Lily4ever3,"Hudson Valley, NY",Donald Trump,New York
880,, Donald Trump is on track to become the worst jobs president in modern American history. ,judysch32907283,"Port Orange, FL",Donald Trump,Florida
881,," Donald Trump is a Liar, Thief, and the most corrupt President in U.S History ",Philipm344,"Ft. Lauderdale,FL",Donald Trump,Florida
883,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,klldw,"Indian Land, SC",Donald Trump,South Carolina
884,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",AnitaDreyer1,"Florida, USA",Donald Trump,Florida
887,, Those who didn't vote in 2016 are showing up early in droves — and more are Democrats.Get out there and vote - visit…,sparklephilly,"Pennsylvania, USA",Donald Trump,Pennsylvania
889,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",pdebs0723,"Deerfield Beach, FL",Donald Trump,Florida
891,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",MHornsby16,"South Carolina, USA",Donald Trump,South Carolina
892,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",cesard7024,"Miami, FL",Donald Trump,Florida
895,,"Did trump make America great again? 225+,000 deaths, Obstructed COVID Relief $ it wasn't his way so he stacked SC w… ",2DianaAdams,"Oakland County, Michigan",Donald Trump,Michigan
897,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",pc1330,TN,Donald Trump,Tennessee
908,, Democrat nightmare: The daily Rasmussen Reports poll that tracks black support for Donald Trump shows the president sitt…,Lily4ever3,"Hudson Valley, NY",Donald Trump,New York
911,," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…",GuthrieDavis,Florida,Donald Trump,Florida
913,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,lastbohemians,"Brooklyn, NY",Donald Trump,New York
915,, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…,Dairydoll,"Moline, Illinois",Donald Trump,Illinois
922,,'Rappers are Republicans?!?!': Lil Wayne's meeting with Donald Trump causes confusion on social media - USA TODAY… ,TXK2002,"Atlanta, GA",Donald Trump,Georgia
929,, Philly DA is a bad ass. Warns Trump that his goon poll watchers will face swift consequences if they come to his city.…,BarbMcNeil66,"West Virginia, USA",Donald Trump,West Virginia
931,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",RayPekichWrites,"Pittsburgh, PA",Donald Trump,Pennsylvania
941,," COVID-19 deaths:United States: 225,000Population: 328.2 millionCOVID-19 deaths:Canada: 9,963Japan: 1,716Australia: 9…",longbottom4,"Oakland, CA",Donald Trump,California
946,, It is Halloween week so please listen and learn from Donald J Trump (link for shares below) ,MrsDeWinter_2,"Orlando, FL",Donald Trump,Florida
947,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,u2biker,"Miami, FL",Donald Trump,Florida
948,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",PatPMendonca,"Mineola, NY",Donald Trump,New York
950,,"50 Cent, endorse Donald Trump,  lil  Wayne endorse Trump, and this list continue, I think the Democrats are crying.",theshaneedwards,"Palm Beach, FL",Donald Trump,Florida
952,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,KTTampa,"Danville, VA, originally NYC",Donald Trump,Virginia
